No.,brand_name,reviewer,rating,date,content
645,十四代,Kuri,4.5,2022年8月28日,十四代 本丸 秘伝玉返し   イベントに出店されていたお店で飲みました  十四代はまだあまり日本酒を知らない頃に飲んだ記憶が…  あのときもただただ旨いなあと思っていましたがやはり今回も旨かったです   これは確かに皆が好きな味ですね  爽やかで飲みやすいです  米の旨味や甘味が繊細に混ざりあって美味しい  りんご系の甘みがふわっと広がりました  文句なしですね〜
647,十四代,ドリームハート,4,2022年8月25日,なるべく美味しいうちにって思ってましたが３ヵ月以上寝かせてしまいました
655-1,十四代,ギャンディー,4,2022年8月14日,十四代　純米吟醸　龍の落とし子   今まで飲んだ十四代の中では、華やかさが抑えられていると思った
655-2,十四代,ギャンディー,4,2022年8月14日,ほんのりした甘味と軽い飲み口で、いい意味で飲んだ気がしない不思議な印象を持った
655-3,十四代,ギャンディー,4,2022年8月14日,上品で確かに美味しいのだけれど、プレミア価格に相応しい感動があるかどうかは個人差が出ると思う
658,十四代,akim,4.5,2022年8月11日,まあ美味しいですね
661,十四代,nao,5,2022年8月7日,十四代 純大 酒未来   含むと柔らかい口当たりからのマスカットの香り  香りと甘旨味がふわっと広がりながら鼻に少し抜けるガス感  そのあと苦味でキュッと引き締めて香りが心地よい余韻  1口含むとああーうまーーーって身体から力が抜ける美味しさ   純吟酒未来は何度か飲んだけど純大酒未来の宅飲みはお初♪  常温になってもバランス全然崩れないし、なんかイケナイモノでも入ってんじゃないかってぐらいw  保護袋に高木酒造のロゴ入っててカッコよすぎ‼︎   今日は誕生日パーティーで振る舞い酒はコチラ  義父と2人で半分飲んじゃいましたw  今年も良い年になりそうです(*´∀｀*)  家帰ってからも1人で飲んじゃうぐらいコレ1本で今日は大満足でした‼︎   若手3蔵の酒未来はまだ飲めてませんが、やはり他の蔵の酒未来とは別格ですね  辰五郎さんありがとうございます
666,十四代,kasumi_♂,4,2022年7月31日,手頃な価格から高品質なお酒を〜を  コンセプトに造られていますが  手頃な価格では飲めないのが残念な  とても美味しいお酒でした
669,十四代,たいき,4.5,2022年7月21日,色々と飲んできて久々に飲んだところ、「キレイさを兼ね備えた醇酒だなぁ」と思いました
673,十四代,waiwaita,4.5,2022年7月18日,十四代 双虹  兵庫県特A地区産山田錦100% 醸造アルコール 精米歩合35%  めちゃくちゃ旨い‼︎…んだが純米大吟醸の龍月と飲み比べてしまうとやはり甘さが少しネットリ感じてしまう
674,十四代,waiwaita,5,2022年7月18日,十四代 龍月  兵庫県特A地区産山田錦100% 精米歩合35%  とにかく旨い‼︎しかも山田錦だからかな、スッキリしててすごく洗練されている
683,十四代,不沈艦,5,2022年7月10日,私は定価でしか買わないので十四代を買える機会には中々恵まれない分、外でいただくより美味しい気がしました
686,十四代,wajoryoshu,5,2022年7月8日,十四代らしいムンムンと芳しい旨酒もいいけど、最近はこれくらいバランスのとれた酒も好きなので夏酒吟撰かなりの高評価
692,十四代,Cutie Dog,5,2022年6月28日,備忘録(2022年6月(5月購入))　十四代　中取り純米吟醸(赤磐雄町)　生詰   【赤磐雄町　飲み比べ】  　十四代(中取り純米吟醸　生詰)　VS　鍋島(純米吟醸　火入れ)   　特定名称：純米吟醸  　酒米：赤磐雄町  　精米歩合：50%  　ここまで条件の揃った飲み比べは、なかなか出来ないので楽しみですねぇ・・・   　香り・甘味・旨味のバランスが最高ですねぇ😆  　雑味が無くて飲みやすいなぁ・・・  　同じ赤磐雄町でも作り手(蔵)によって結構違いがあるんだなぁ  　当然だけど・・・😅   【評価】  　冷酒　　　：5.0  　ひや(常温)：4.8  　燗　　　　：－   原材料：米(国産)　米麹(国産米)  原料米：岡山県赤磐産雄町(80%)  精米歩合：50%  アルコール分：15度
693,十四代,すーさん,5,2022年6月27日,そんで初期のレビュー見たらもう料理の盛り付けがお目汚しレベル😂我ながら成長したなぁ(自画自賛おつ笑)   最近蒸溜酒に浮気しつつありますが、休みの日はやっぱり好きな料理と日本酒飲みたくなりますね🍶  ハイボールとかビールとかさっぱりするのも良いですけど、やっぱり料理の旨味を引き出すという点ではやっぱり日本酒が最高‼️単体でももちろん美味いですが、やっぱり日本酒の本来の楽しみ方って食事と一緒に飲む事だと思うんですよね
694,十四代,tanron,4,2022年6月26日,そっちは旨いが予想つくから🤗
699,十四代,kasumi_♂,4,2022年6月19日,奥行きのある旨味にスッキリした口当たりで  さすが十四代、とても美味しいお酒でした
700,十四代,Cutie Dog,5,2022年6月18日,備忘録(2022年6月(5月購入))　十四代　吟醸酒(国産米)　生詰   【評価】  　冷酒　　　：5.0  　ひや(常温)：5.0  　燗　　　　：5.0   華やかな香りがあり飲んだ直後は甘味が押し寄せてくるがスーっと引いていき、メチャクチャ飲み易い😋   原材料：米・米麹・醸造アルコール  原料米：国産米(100%)  精米歩合：50%  アルコール分：15度
708,十四代,たけのこ大好き,5,2022年6月12日,高木酒造 十四代 中取り大吟醸 播州山田錦  過去に飲んだものの記録用
736,十四代,ギャンディー,5,2022年5月20日,ネームバリューが高すぎて、客観的な評価が難しいところ
747,十四代,ヨハネさん,5,2022年5月3日,十四代はやっぱり旨い
749,十四代,gigadeth,5,2022年5月1日,流石は王者、それでも十分美味しい
753,十四代,dailson20,5,2022年4月29日,十四代　中取り純米吟醸　播州山田錦   こ、これは旨い...
755,十四代,モコモコ,5,2022年4月29日,2年前は酒未来純米大吟醸が  1番美味しかったので  十四代で1番好きな酒米は酒未来
756,十四代,モコモコ,5,2022年4月29日,龍の落とし子の純米大吟醸よりは  愛山の純米吟醸の方が美味しい
757,十四代,モコモコ,4.5,2022年4月29日,美味しいがもうちょい
758,十四代,さだこ,5,2022年4月25日,普段は低精米の純米酒が好きでそればっかり飲んでるので、  たまにはこんなんもええなと
762-1,十四代,KC500,5,2022年4月23日,この前飲んだばっか、インプレッションが変わる訳ない
762-2,十四代,KC500,5,2022年4月23日,普通に、普通の価格で買える様に
763,十四代,KC500,5,2022年4月23日,しかしもうちょっと普通に、普通の価格で買える様にならんのか
764,十四代,JIN,3.5,2022年4月22日,料理も美味しいし日本酒の品揃えも凄い
766,十四代,おさけぬーぶ,4.5,2022年4月17日,十四代 純米吟醸 播州山田錦  山田錦らしい甘さがやんわりきてしっかりキレて美味しい
771,十四代,gigadeth,5,2022年4月12日,十四代　中取り大吟醸　播州山田錦　生酒  あけてから結構時間が経っているようで、生酒のフレッシュさは失われているものの、まろやかでとても美味しい
772,十四代,gigadeth,5,2022年4月12日,十四代　中取り純米　無濾過　生酒  まぁ文句なく美味しい
776-1,十四代,KC500,5,2022年4月9日,以前もこの串焼き居酒屋で飲んだ
776-2,十四代,KC500,5,2022年4月9日,前に飲んだ而今がちょっと霞む
781,十四代,まなてぃ,5,2022年4月4日,でした( ´͈ ᗨ `͈ )◞♡⃛   純米吟醸は純米大吟醸に比べると若干甘味が強い印象でしたが、これはこれですごく美味しい
783,十四代,不沈艦,4.7,2022年4月2日,とても美味しい酒だと思います
784,十四代,カニ,5,2022年3月30日,うっそ～  ・香り、酸味、甘さバランスよくて、旨いとしか言いようがない
787,十四代,へんじがない、ただのびぼうろくのようだ…,4,2022年3月23日,角新のフレッシュさが重く、重ならない杯、と斜め上のコスパを発揮するも一周まわってやっぱり旨かった、という
788-1,十四代,ナナメ,5,2022年3月21日,入手できる機会も少ないですし  公式サイトもないため商品構成  とかよく知りません
788-2,十四代,ナナメ,5,2022年3月21日,...................................................................   アルコール：16度  原料米：山形県産龍の落とし子80%  精米歩合：35%  酵母：非公開  日本酒度：非公開  酸度：非公開  アミノ酸度：非公開  蔵元：高木酒造  都道府県：山形県   ...................................................................   ★★★★★ とても美味しい＋他にない個性  ★★★★     とても美味しい  ★★★         美味しい  ★★             ふつう  ★                 好みではない
789,十四代,ゆぽ,3,2022年3月21日,甘みの中にも少しのキレがありとても飲みやすく美味しいお酒
790,十四代,バスキチ,4,2022年3月20日,流石レジェンドやっぱり旨くてコスパも最高❗️  ホント呑みたい時に手に入るようになるといいですよね〜❗️😁😁😁
792,十四代,range,4.5,2022年3月19日,十四代 純米大吟醸　  個人的に買ったお酒をレビューするようにしていたので、この蔵のお酒はなかなか飲むことが出来なく、こりゃいつまで経っても買える＝飲めるわけないよなあと思い山形県内の飲食店で頂きました
795-1,十四代,KEN,4.5,2022年3月13日,十四代 本丸 秘伝玉返し 特別本醸造  精米歩合 55% アルコール分15度  今年のお正月はコロナ化の影響で2年連続  実家での新年の集まりは無くなり年末に本丸を頂き１合ずつありがたく呑み今晩でラスト  冷酒で良し冷やで良しぬる燗で良し  口に含むと少し酸がたち芳醇旨口な香りがあと追い喉を通る頃にはスパット切れる どんな和食料理とも相性がよく、入手困難な他の十四代も呑みたくなります
795-2,十四代,KEN,4.5,2022年3月13日,美味しいですね
797,十四代,フルやん,5,2022年3月7日,長崎県産ハチビキはしっかりと内臓脂肪を蓄えてていました〜隠れ肥満やね🐵  負ける気がしねぇ❗️   旨いです
798-1,十四代,masatosake,5,2022年3月6日,口当たりはフレッシュでフルーティーな甘さに味わいしっかり濃くて旨いです
798-2,十四代,masatosake,5,2022年3月6日,今回は十四代を飲んだことがないという友人に初体験してもらうべく牡蠣をアテに品川近くの居酒屋さんで頂き、友人も大絶賛でした
800,十四代,オレンジ12,4,2022年3月4日,ただ、日本酒ファンには自慢出来たのでそこは美味しいっすねぇ～wwwww    消費期限が３ヶ月らしいのでお早めに転売してくださいな
803-1,十四代,かず太郎の旦那,4,2022年2月26日,十四代　おりからみ　荒走り　生酒   1.8ℓ 価格不明   父からお裾分けで頂きました
803-2,十四代,かず太郎の旦那,4,2022年2月26日,正直、初めて十四代飲んだときの感動はありませんでした
803-3,十四代,かず太郎の旦那,4,2022年2月26日,手に入れやすくて美味しいお酒は、他にもいっぱいありますもんね☆
804,十四代,☆Shige☆,5,2022年2月23日,もう言わずもがな‼️旨いです
805,十四代,すぎちゃんの冒険,4,2022年2月20日,"十四代の自宅飲みも、開栓直後というのも多分お初のはず  ---  ▽さすがのまろやか、柔らか、優しさ、フルーツ感、クリーミー感、一体感などなど  ▽ああだこうだコメントするのも野暮なので控えたとしても、やはり本醸造の価格帯1升2,400円とかで飲む限り、これは異次元  ▽このぱぁーっと拡がる軽やかさ、若々しさ、素直さと人生"
806,十四代,mint,5,2022年2月13日,私はジューシーなお酒も大好きです♪  でも十四代は間違いなくこれぞ本物の日本酒の主流  酒器は高木酒造地元の村山市楯岡焼で風情良く♡
808-1,十四代,すけひろ,4.5,2022年2月12日,大吟醸、エクストラ、本丸は飲んだこと有り、期待値が高すぎたせいか、今までほどの感動は無し
808-2,十四代,すけひろ,4.5,2022年2月12日,確かに美味しいが飲んだことあるようなフルーティー
808-3,十四代,すけひろ,4.5,2022年2月12日,十分美味しいんですが
809-1,十四代,nao,5,2022年2月11日,十四代 おりからみ荒走り 生酒   こちらは「おりがらみ」ではなく「おりからみ」  違いはよく分からないですが滓はかなーりうっすら  そして14では珍しい透明瓶で唯一の滓有りの酒  前々からチャンスがーっと思ってたら出会えました♪   香りは甘いパインがうっすら  含むとリンゴのような甘い香りと若干とろみのある口当たりで14特有の甘旨味がふわわわーっとしながら酸味で鼻奥を突かれる  濃厚な甘味だけど後半苦味がぎゅわーんときてキレる  相変わらず唯一無二の甘味とキレで美味しいー♪    初日で調子乗って半分飲んでしまい、その後は少しずつ大事に飲んで今日で5日目
809-2,十四代,nao,5,2022年2月11日,全然変わらず美味しくて止まらんです(´∀｀*)ｼｱﾜｾ  開栓時に上積み飲みましたが味忘れました…  投稿も忘れてました…    今日の晩酌は昨日と同じ酒とおでん  晩酌用にあと2日分おでんあるのに汁が残りわずか…  出汁好きなので酒と汁だけで済んじゃう♪
821-1,十四代,たけ,4,2022年1月28日,味はもちろん美味しいですよ
821-2,十四代,たけ,4,2022年1月28日,むしろ、昨年も飲んだ寒菊39とかの方が、  衝撃は強いんですよね〜  好みなんだろうけど
822-1,十四代,mshogo,4.5,2022年1月26日,角新純米　生酒　十四代はどれも美味しいので、十四代同士で比べてしまいます
822-2,十四代,mshogo,4.5,2022年1月26日,絶妙な甘味と旨味で美味しいです
823,十四代,不沈艦,4.6,2022年1月24日,やや甘味が重いので綺麗にきれる感じではありませんが、甘旨好きにはいい余韻となっています
827,十四代,たけ,4.5,2022年1月18日,十四代も飲み慣れてくると、ずば抜けた旨さ  というよりもふつ〜に美味しいと感じる
831-1,十四代,たけ,4,2022年1月11日,もちろん美味しい事には変わりないのです
831-2,十四代,たけ,4,2022年1月11日,毎日は飲めませんね、金額的な事もありますが、  どんなに美味しいお酒でも毎日だと飽きちゃいます
833,十四代,swallow-swallow,5,2022年1月9日,十四代　中取り純米吟醸　播州山田錦　1800ml   税込価格:4907円   ついに手に入れた十四代
837,十四代,nao,5,2022年1月6日,十四代 本丸 生詰   フルーティで程よい甘旨味  後半はスッキリキレるので次々に杯が進む  何度飲んでも安定して美味しいお酒(´∀｀*)   友人に正月に開けた本丸角新の残酒処理しよーっと誘ったら  生詰も開いてるから飲み比べしよーっと  安いお酒だけど贅沢な飲み比べ( ´ω`っ  )3  正月気分の延長戦です♪   やっぱ角新は甘ったるい…  生詰のほうがバランス良くて好きです(*´∀｀*)  とは言え、両方美味しいのでカパカパ飲んで、気付けば本丸両方とも空になりました♪
852-1,十四代,A.J,5,2022年1月1日,十四代　龍の落とし子   美味しい
852-2,十四代,A.J,5,2022年1月1日,今年も美味しい日本酒に出会えますように
853-1,十四代,アマチュアのんべえ,5,2022年1月1日,さすがに美味しい
853-2,十四代,アマチュアのんべえ,5,2022年1月1日,飲んだことなく、いつか飲めたらいいなあと思ってたので感謝
853-3,十四代,アマチュアのんべえ,5,2022年1月1日,【追記二日目】クセがなく、誰もが｢美味しい｣というシンプルな味わい
853-4,十四代,アマチュアのんべえ,5,2022年1月1日,日本酒が好きという話をしたら正月に前触れなく親戚が好意で持ってきてくれたので有りがたく頂きましたが、もう手に入らないと思うので、これが最後だと思って楽しみたいと思っています
853-5,十四代,アマチュアのんべえ,5,2022年1月1日,【追記三日目】米の大好きな甘みが前面に出て、最後の苦味も出てきた
853-6,十四代,アマチュアのんべえ,5,2022年1月1日,甘さコク出て美味しい
853-7,十四代,アマチュアのんべえ,5,2022年1月1日,【追記十日目】風味落ちるもまだ美味しい
854,十四代,ともがゆく,5,2022年1月1日,十四代 龍の落とし子 大極上生  皆様明けましておめでとうございます  年明け一発目どうしようって  考えていたら最寄りのお店が  入荷したって通知来たので行きました  去年も確か飲んだ記憶がありましたが  これは角新本丸並の旨さですわ…  スッキリとキレのある甘味で  余韻も不快にならない程  気づいたら居なくなる  手品のような後口  ちょっとお高いけど  まぁお正月なので(ﾟ∀ﾟ)   家飲みの一発目ですが  皆様が金杯金杯仰るので  枠番が決まってからレビューを  アップする事にしますので  今年もよろしくお願いいたします
856-1,十四代,waiwaita,4.5,2022年1月1日,十四代 槽垂れ 本生 原酒 純米吟醸酒  精米歩合50%  大晦日一年の締めくくりにいただけました^^  やっぱり旨い‼︎ 旨甘スッキリの絶妙なバランスが唯一無二です
856-2,十四代,waiwaita,4.5,2022年1月1日,来年もたくさんの美味しいお酒が飲めますように
859,十四代,すーさん,5,2021年12月31日,なーんて言っときながら、酒未来好きの私のために取っておいたけど実家帰れなくて開けられなかったんだよね
861,十四代,nao,5,2021年12月31日,しかも昼間w  毎年年末に行く蕎麦屋さんにてランチに頂きました   含めば十四代の芳醇な甘旨味に加えて愛山の酸味が効いてていくらでも飲めちゃう  今年は家でも飲んだけど、やっぱ外だとアテも美味しいから格別ですね(*´∀｀*)  蕎麦の前にアテを6種程頂き、良き年末です   夜もたくさん飲まにゃかんのにもつかなw
864,十四代,田中しば子,4.5,2021年12月30日,誰が飲んでも美味しい日本酒♪
866,十四代,縦の皮,5,2021年12月30日,以前飲んだ中取り大吟醸はあまりピンとこなかったので、十四代のアル添には半信半疑なところがありました
869,十四代,まさ,5,2021年12月30日,昔飲んだ而今の大吟醸　出品酒のような感動がありました
873-1,十四代,Cutie Dog,5,2021年12月28日,"」  一升瓶で、2,530円(税込み)はコスパ最強ですね"
873-2,十四代,Cutie Dog,5,2021年12月28日,常飲したいですが買えないのが玉に瑕(^^;)   【評価】  　冷酒　　　：5.0  　ひや(常温)：5.0  　燗　　　　：5.0   原材料：米・米麹・醸造アルコール  原料米：国産米(100%)  精米歩合：55%  アルコール分：15度
877,十四代,えなちゃん,5,2021年12月27日,十四代 本丸   初めて飲んだ十四代  定価で買えました  安くてこんなに美味けりゃ そりゃ人気でるよね  ネット販売のプレミア価格…あんな値段で買う人がいるのだろうか…
880,十四代,耳氏,5,2021年12月25日,純米中取り、純米吟醸龍の落とし子など飲んだことありますが、なんだかんだコレが一番うまいんじゃないでしょうか
883,十四代,不沈艦,5,2021年12月24日,とても美味しい酒だと思います
891-1,十四代,ダウマン,,2021年12月18日,昨日飲んだお酒   十四代ですね
891-2,十四代,ダウマン,,2021年12月18日,美味しいな
907,十四代,リルハケイゴ,5,2021年11月30日,十四代 酒未来 純米吟醸   本日はこちら♪  先日の十四代（山田錦）の初家飲みに続き、  遂に酒未来を入手できました
914,十四代,ダウマン,,2021年11月25日,２週間前に飲んだお酒シリーズ（よく覚えてない）   これは覚えてる
917,十四代,kanoa,5,2021年11月23日,ここのところ美味しい日本酒をたくさんいただいていたけど、これはちょっと別物だった
918,十四代,ともがゆく,4.5,2021年11月21日,十四代 播州山田錦 大極上生  公園のテラス店にて  物産展で買ったソーセージセット片手に  芳醇な甘さでこんな凄いお酒を  公園のテラスのお店で飲んでいいのかな
920,十四代,kasumi_♂,4,2021年11月18日,今回、口開け早々の一杯をいただけて  普段よりフレッシュで  とても美味しいお酒でした
923,十四代,nao,5,2021年11月15日,十四代 本丸   華やかでフルーティ  芳醇旨口でありながら後半はベタつかずスッキリ  細かいコメントは不要な美味しさですね  毎日の常用酒にしたいです(*´꒳`*)   昨日は仙鳳趾産の牡蠣パーティー  ここの牡蠣はクリーミーで本当に美味しい♪  生牡蠣は1つだけ食べてあとは蒸し牡蠣に  牡蠣を蒸す時に日本酒を半合ほど鍋に入れる  その時にちょうど横にあったのがこの本丸  本丸で蒸し牡蠣にしちゃえってw  出来上がった蒸し牡蠣はいつも以上に美味しい気がしました(o^^o)
925,十四代,ピッギー,5,2021年11月14日,甘旨でピリピリと酸味がきいてて濃厚な味わいなのに後味はスッキリで今まで飲んだことない味わいですね
931,十四代,dya,5,2021年11月13日,十四代 中取り純吟 播州山田錦   文句無しに旨い
933,十四代,たいこ,5,2021年11月13日,入手困難なのもうなずけます
934,十四代,ひろき,5,2021年11月12日,しかも酒未来!!  美味しいですよ、美味しいに決まってる!!  間違いない
941,十四代,さくら,4,2021年11月5日,ってくらいジューシー＆フレッシュ  飲んだ感じは搾りたて生原酒
944,十四代,str,5,2021年11月4日,ただ居酒屋価格で、一合で一升瓶の半額程度でした…
945,十四代,モコモコ,4.5,2021年11月4日,美味しいのは間違いないです
948-1,十四代,しろこさん,5,2021年11月1日,「コレ飲んだら、他のお酒が飲めなくなりますよ〜」とお店の人に言われた、「十四代　極上諸白　純米大吟醸」
948-2,十四代,しろこさん,5,2021年11月1日,「町田酒造が好きです」と言ったら勧めてくれた「花邑　純米吟醸　雄町」を軽く飲んでから
948-3,十四代,しろこさん,5,2021年11月1日,ただ、このお酒を飲んだのはまったく色気も日本酒の知識もほどほどにしか無い、適度にミーハーな３人
948-4,十四代,しろこさん,5,2021年11月1日,お互いの頼んだ「而今」「新政No.６」「田酒」などのレアなお酒をわけわけしながら、きゃっきゃと「これ美味しい〜」「こっちも好きー」「十四代、多めに分けてくださいよ」「アカン」と飲みまくって幸せだった
948-5,十四代,しろこさん,5,2021年11月1日,１人飲みは、じっくり味わいながら飲めるから好き
948-6,十四代,しろこさん,5,2021年11月1日,２人飲みは、しっとりお酒の感想を言いながら飲めるから好き
948-7,十四代,しろこさん,5,2021年11月1日,３人飲みは、どっさ倍の種類が飲めて会話の幅が広がるから好き
954-1,十四代,きんさん,5,2021年10月30日,十四代はあまりにも手に入らなさすぎて、「別に十四代飲めなくたって、ちゃんと買える美味しい酒は沢山あるじゃん」と、あまり十四代をありがたがっていませんでした
954-2,十四代,きんさん,5,2021年10月30日,過去にも別のお店で飲んだことはありましたが、「うまいけど騒ぐほどか
954-3,十四代,きんさん,5,2021年10月30日,で、飲んだのですが…  衝撃的な旨さ
955,十四代,hiko99n,4,2021年10月29日,美味しいに決まってる
957,十四代,HM,5,2021年10月24日,"これが一升2,500円というコスパはどんな日本酒も敵わないのではないでしょうか"
959,十四代,Cutie Dog,5,2021年10月23日,【評価】  　冷酒　　　：5.0  　ひや(常温)：5.0  　燗　　　　：－
966,十四代,仙臺四合,4.5,2021年10月16日,ENCOUNTER SDJ @MBY  やっぱりみんなの評価が高いわけですね♬  香りファーストアタック旨味後味キレバランス  日本酒だけど十四代と言うジャンルですなぁ♬
968-1,十四代,ピアジオ,5,2021年10月16日,居酒屋で飲んだことはありますが、自分で開栓して、日にちの経過を感じながら飲むのは初めて
968-2,十四代,ピアジオ,5,2021年10月16日,一日で一升いけそうな、非常に危ない酒ですね（笑）  世間の評価に違わぬ、最高級の酒を堪能させていただきました
969,十四代,nao,5,2021年10月15日,十四代 播州愛山 純米吟醸中取り   2年振りぐらいの十四代愛山  フルーティな香りで、口に含むとシュワっと穏やかなフレッシュ感  甘味ジュワっときて最後は苦味でバランス良い♪  常温になってもあまり変わらず、ずーっと飽きずに飲めるお酒  これは問答無用で美味しい(*´∀｀*)   昨日は友人の入籍記念で男3人で宅飲み  他にも色んなお酒がある中これだけが減っていくw  新たな門出に十四代は男性陣は喜ぶばかり
978,十四代,Cutie Dog,4.5,2021年10月10日,備忘録(2021年10月(4月購入))　十四代　極上諸白　純米大吟醸　生詰   【評価】  　冷酒　　　：4.5  　ひや(常温)：4.5  　燗　　　　：－   原材料：米(国産)　米麹(国産米)  原料米：国産米(100%)  精米歩合：45%  アルコール分：15度   P.S.  ラベル表記の原料米、以前は愛山と山田錦が併記されていたが詳細な表記なし
983,十四代,masatosake,4.5,2021年10月8日,初めて十四代飲んだときはあまりの旨さに目ン玉飛び出るぐらい感動しましたが、ここ数年美味しいお酒を飲み過ぎたのかも知れません
989,十四代,まさ,5,2021年10月2日,これから日本酒が美味しい季節となります
993,十四代,nao,5,2021年9月25日,そして軽く余韻残して消えていく  んもー説明不要の美味しさ(*´∀｀*)  飲んだ瞬間に、あぁぁぁーーーうまッ‼︎っとw  んもー次から次へとスルスル入っちゃう…   今日はお休み貰って1日中外出してたから疲れてたのに一気に疲れが吹き飛んでしまったw  常温に近づくにつれて丸くなってきて止まらない止まらないw  至福の晩酌タイムです(๑˃̵ᴗ˂̵)  宅飲みで十四代を1升堪能できる幸せ♪   晩酌も終盤で投稿しようと文章書いてたら今更酔いが回ってくる…  危険なお酒だよー( ´ω`っ  )3  特別な日じゃないけど華金で開栓して正解でした
998-1,十四代,Mr. 日本酒好き,5,2021年9月20日,この香りだけでも美味しい
998-2,十四代,Mr. 日本酒好き,5,2021年9月20日,また十四代の一番好きな点が流れるような滑らかさや舌触りなのですが、こちらのお酒はあの舌触りはあまり感じられませんでした
1002,十四代,いつぺいそつ,5,2021年9月11日,The 芳醇旨口.   はじめて飲んだ時は名前も知らなかったな
1009,十四代,バボビ,5,2021年9月6日,4枚目：旨い酒飲み比べセット(十四代、磯自慢、醸し人九平次)  2018年6月14日　東京都東陽町での懇親会の二次会にて
1010,十四代,たけ,4.5,2021年9月1日,とりあえず旨い
1015-1,十四代,ガチ,5,2021年8月26日,」って言ってたくれた愛方さん(*^-゜)vThanks!   我が家に２本目のＪＹＤと言う事もあり、愛方さんが大好きな十四代を開けて乾杯しちゃいました( *´艸｀)    それでは開栓しちゃいましょうd=(^o^)=b   栓を開けると二人してＪＹＤの香り(^_^;)    まずは愛方さんのコメントから(^_-)   え
1015-2,十四代,ガチ,5,2021年8月26日,美味しい
1015-3,十四代,ガチ,5,2021年8月26日,オマチ君と純吟シリーズが控えてますが…   ♪上からマリコ～…  ぢゃなく(((*≧艸≦)ﾌﾟﾌﾟｯ   上から目線ですみませんが…  正直、この子達クラスなら他にも更に旨い
1021,十四代,しるふぁ,4,2021年8月16日,バランスのよい甘口タイプで、定価ならかなりコスパの良いお酒だな〜と改めて思いました
1023-1,十四代,ナナメ,3,2021年8月15日,飲んだら  おっ
1023-2,十四代,ナナメ,3,2021年8月15日,...................................................................   アルコール：14度  原料米：国産米  精米歩合：40%  酵母：非公開  日本酒度：非公開  酸度：非公開  アミノ酸度：非公開  蔵元：高木酒造  都道府県：山形県   ...................................................................   ★★★★★ とても美味しい＋他にない個性  ★★★★     とても美味しい  ★★★         美味しい  ★★             ふつう  ★                 好みではない
1026,十四代,パパパK,4,2021年8月12日,普通に美味しい
1027-1,十四代,kosuke,5,2021年8月9日,かつて日本酒を飲み始めた時に、美味しいお酒として飲んでみて、それから様々な日本酒を飲んできて、地方や蔵元の味と言うのを色々学びつつ、控えめに言ってもとても美味い
1027-2,十四代,kosuke,5,2021年8月9日,初日の方が好き
1032,十四代,エイサー,4.5,2021年8月8日,十四代　超特   個人的には一番美味しい酒だと思います
1036,十四代,HM,4.5,2021年8月1日,独特の甘味はめちゃ好みなのですがコスパを考えると・・・って感じでしょうか
1038-1,十四代,シーザリオ,4.5,2021年8月1日,どちらかというと酒未来のほうが好きかな
1038-2,十四代,シーザリオ,4.5,2021年8月1日,でも美味しい
1042,十四代,シーザリオ,5,2021年7月24日,十四代 中取り純米 無濾過   先日飲んだ酒未来の純米吟醸に比べると  香りの華やかさは少しおとなしいが  その分落ち着いた感じ
1044-1,十四代,スズ生酛,5,2021年7月22日,本丸 秘伝玉返し 特別本醸造   半年ぶりの十四代(ﾟдﾟ)ﾎｩ  ずっと気になってたので、しばらくぶりに連れて帰りました、  噂には聞いてましたが、なるほどとﾌﾑ((¯ω¯*))ﾌﾑ  純米系よりも好きかも
1044-2,十四代,スズ生酛,5,2021年7月22日,半端ないコスパです
1048,十四代,シーザリオ,5,2021年7月17日,美味しい
1062-1,十四代,Jさん,5,2021年7月2日,よく美味しい日本酒をご馳走になってる五所川原市のふくらさんでいただきました
1062-2,十四代,Jさん,5,2021年7月2日,ネットでは適正価格では買えませんし、普通の人はほぼ普通に購入するのは不可能なので、飲食店で見つけたら飲むのが一番いいかと思います
1066,十四代,りおちー,4,2021年6月27日,まずは大好きな十四代で
1067,十四代,月長石,4.5,2021年6月27日,十四代、いつ飲んでもやっぱり美味しいお酒です
1070,十四代,wajoryoshu,5,2021年6月26日,十四代は日本酒を敬遠していた時代にも唯一呑んだ銘柄だけど、そのころはそのスペックなんぞには興味があるわけもなく、ただ旨いから呑むといった本能的欲求によるもの
1076-1,十四代,福井のえりこ,4,2021年6月23日,笑    皆んながこぞって飲む十四代、どんなものかドキドキしてましたが…   たしかに美味しい…
1076-2,十四代,福井のえりこ,4,2021年6月23日,フルーティーすぎるお酒を最近飲みすぎて、ちょっとストレス感じてましたが、これは変なストレスもなく美味しい
1077,十四代,nao,5,2021年6月21日,十四代 本丸   結構お酒入った後に頂きました  信州亀齢の金銀亀飲んだ後なので香りは穏やか  優しく果実感のある香りに本醸造とは思えないキレイなお酒   昨日は吟撰を頂いて芳醇で美味しかったけど、本丸は飲み飽きせずにずーっと飲めます(*´∀｀*)
1079,十四代,まさ,5,2021年6月20日,^_^   ダメダメな父親ですが  こんな美味しいお酒を飲める  家族に感謝です
1080,十四代,陽愛のパパ,5,2021年6月20日,普通に旨いし
1082-1,十四代,不沈艦,5,2021年6月19日,十四代 純米吟醸　酒未来　生詰  　定期的に探索に行く酒屋さんで入手
1082-2,十四代,不沈艦,5,2021年6月19日,同時期に入手した而今と一緒にいただくというなんとも贅沢な機会を得られました
